ST_PUMA,ST_CO_PUMA
2601200,2601200
2601300,2601300
2601400,2601400
2601500,2601500
2601600,2601600
2601701,2601705
2601702,2601705
2601703,2601705
2601704,2601705
2601801,2601800
2601802,2601800
2601900,2601900
2602000,2602000
2602101,2602100
2602102,2602100
2602200,2602200
2602300,2602300
2602400,2602400
2602500,2602500
2602600,2602600
2602701,2602700
2602702,2602700
2602703,2602700
2602800,2602800
2602901,2602900
2602902,2602900
2602903,2602900
2602904,2602900
2602905,2602900
2602906,2602900
2602907,2602900
2602908,2602900
2603001,2603000
2603002,2603000
2603003,2603000
2603004,2603000
2603005,2603000
2603006,2603000
2603100,2603100
2603201,2603200
2603202,2603200
2603203,2603200
2603204,2603200
2603205,2603200
2603206,2603200
2603207,2603200
2603208,2603200
2603209,2603200
2603210,2603200
2603211,2603200
2603212,2603200
2603213,2603200
2603300,2603300
2700101,2700190
2700201,2700190
2700301,2700390
2700401,2700390
2700501,2700390
2700600,2700600
2700700,2700700
2700800,2700800
2700901,2700990
2701001,2700990
2701101,2700990
2702001,2700990
2701200,2701200
2701301,2701300
2701302,2701300
2701303,2701300
2701401,2701400
2701402,2701400
2701501,2701500
2701502,2701500
2701503,2701500
2701504,2701500
2701505,2701500
2701601,2701600
2701602,2701600
2701603,2701600
2701604,2701600
2701605,2701600
2701606,2701600
2701607,2701600
2701608,2701600
2701609,2701600
2701610,2701600
2701611,2701600
2701701,2701700
2701702,2701700
2701703,2701700
2701704,2701700
2701800,2701800
2701900,2701900
2702100,2702100
2702200,2702200
2702300,2702300
2702400,2702400
2702500,2702500
2702600,2702600
2702700,2702700
2702800,2702800
2800100,2800100
2800200,2800200
2800300,2800300
2800400,2800400
2800500,2800500
2800600,2800600
2800700,2800700
2800800,2800800
2800900,2800900
2801001,2801090
2801101,2801090
2801300,2801300
2801400,2801400
2801500,2801500
2801600,2801600
2801700,2801700
2801800,2801800
2801900,2801900
2802001,2802000
2802002,2802000
2802100,2802100
2900100,2900100
2900200,2900200
2900300,2900300
2900400,2900400
2900501,2900590
2900601,2900590
2900700,2900700
2900800,2900800
2900901,2900900
2900902,2900900
2901000,2901000
2901101,2901100
2901102,2901100
2901103,2901100
2901104,2901100
2901105,2901100
2901200,2901200
2901300,2901300
2901400,2901400
2901500,2901500
2901600,2901600
2901700,2901700
2901801,2901800
2901802,2901800
2901803,2901800
2901901,2901900
2901902,2901900
2901903,2901900
2901904,2901900
2901905,2901900
2901906,2901900
2901907,2901900
2901908,2901900
2902001,2902000
2902002,2902000
2902101,2902100
2902102,2902100
2902200,2902200
2902300,2902300
2902400,2902400
2902500,2902500
2902600,2902600
2902701,2902704
2902702,2902704
2902703,2902704
2902800,2902800
2902900,2902900
3000100,3000100
3000200,3000200
3000300,3000300
3000400,3000400
3000500,3000500
3000600,3000600
3000700,3000790
3000800,3000790
3100100,3100100
3100200,3100200
3100300,3100300
3100400,3100400
3100500,3100500
3100600,3100600
3100701,3100701
3100702,3100702
3100801,3100800
3100802,3100800
3100901,3100900
3100902,3100900
3100903,3100900
3100904,3100900
3200101,3200100
3200102,3200100
3200103,3200100
3200200,3200200
3200300,3200300
3200401,3200400
3200402,3200400
3200403,3200400
3200404,3200400
3200405,3200400
3200406,3200400
3200407,3200400
3200408,3200400
3200409,3200400
3200410,3200400
3200411,3200400
3200412,3200400
3200413,3200400
3200414,3200400
3200415,3200400
3300100,3300100
3300201,3300290
3300301,3300290
3300401,3300290
3300501,3300290
3300601,3300290
3300602,3300290
3300603,3300290
3300701,3300290
3300801,3300290
3400101,3400190
3400102,3400190
3402601,3400190
3400301,3400300
3400302,3400300
3400303,3400300
3400304,3400300
3400305,3400300
3400306,3400300
3400307,3400300
3400308,3400300
3400501,3400500
3400502,3400500
3400503,3400500
3400504,3400500
3400601,3400600
3400602,3400600
3400603,3400600
3400604,3400600
3400605,3400600
3400800,3400800
3400901,3400900
3400902,3400900
3400903,3400900
3400904,3400900
3400905,3400900
3400906,3400900
3400907,3400900
3401001,3401000
3401002,3401000
3401003,3401000
3401101,3401100
3401102,3401100
3401103,3401100
3401104,3401100
3401105,3401100
3401106,3401100
3401201,3401200
3401202,3401200
3401203,3401200
3401204,3401200
3401205,3401200
3401401,3401400
3401402,3401400
3401403,3401400
3401404,3401400
3401405,3401400
3401406,3401400
3401407,3401400
3401501,3401500
3401502,3401500
3401503,3401500
3401504,3401500
3401600,3401600
3401700,3401700
3401901,3401900
3401902,3401900
3401903,3401900
3401904,3401900
3401905,3401900
3402001,3402000
3402002,3402000
3402003,3402000
3402101,3402100
3402102,3402100
3402103,3402100
3402104,3402100
3402201,3402200
3402202,3402200
3402301,3402300
3402302,3402300
3402303,3402300
3402401,3402490
3402501,3402490
3500100,3500190
3500200,3500190
3500300,3500300
3500400,3500400
3500500,3500590
3500600,3500590
3500701,3500590
3500702,3500590
3500703,3500590
3500704,3500590
3500705,3500590
3500706,3500590
3500800,3500590
3500900,3500900
3501001,3501000
3501002,3501000
3501100,3501100
3600100,3600100
3600200,3600200
3600300,3600300
3600401,3600404
3600402,3600404
3600403,3600404
3600500,3600500
3600600,3600600
3600701,3600705
3600702,3600705
3600703,3600705
3600704,3600705
3600800,3600800
3600901,3600900
3600902,3600900
3600903,3600900
3600904,3600900
3600905,3600900
3600906,3600900
3601000,3601000
