ST_COUNTY,ST_CO_PUMA
3000033,3000690
3000035,3000100
3000037,3000690
3000039,3000300
3000041,3000400
3000043,3000300
3000045,3000400
3000047,3000200
3000049,3000300
3000051,3000400
3000053,3000100
3000055,3000690
3000057,3000300
3000059,3000400
3000061,3000200
3000063,3000200
3000065,3000690
3000067,3000500
3000069,3000400
3000071,3000690
3000073,3000400
3000075,3000690
3000077,3000300
3000079,3000690
3000081,3000200
3000083,3000690
3000085,3000690
3000087,3000690
3000089,3000200
3000091,3000690
3000093,3000300
3000095,3000500
3000097,3000500
3000099,3000400
3000101,3000400
3000103,3000690
3000105,3000690
3000107,3000400
3000109,3000690
3000111,3000690
3100001,3100500
3100003,3100200
3100005,3100400
3100007,3100100
3100009,3100300
3100011,3100200
3100013,3100100
3100015,3100100
3100017,3100100
3100019,3100500
3100021,3100200
3100023,3100600
3100025,3100701
3100027,3100200
3100029,3100400
3100031,3100100
3100033,3100100
3100035,3100500
3100037,3100200
3100039,3100200
3100041,3100300
3100043,3100200
3100045,3100100
3100047,3100400
3100049,3100100
3100051,3100200
3100053,3100701
3100055,3100900
3100057,3100400
3100059,3100600
3100061,3100500
3100063,3100400
3100065,3100400
3100067,3100600
3100069,3100100
3100071,3100300
3100073,3100400
3100075,3100400
3100077,3100300
3100079,3100300
3100081,3100300
3100083,3100500
3100085,3100400
3100087,3100400
3100089,3100100
3100091,3100400
3100093,3100300
3100095,3100600
3100097,3100600
3100099,3100500
3100101,3100400
3100103,3100100
3100105,3100100
3100107,3100200
3100109,3100800
3100111,3100400
3100113,3100400
3100115,3100300
3100117,3100400
3100119,3100200
3100121,3100300
3100123,3100100
3100125,3100200
3100127,3100600
3100129,3100500
3100131,3100600
3100133,3100600
3100135,3100400
3100137,3100500
3100139,3100200
3100141,3100200
3100143,3100600
3100145,3100400
3100147,3100600
3100149,3100100
3100151,3100600
3100153,3100702
3100155,3100701
3100157,3100100
3100159,3100600
3100161,3100100
3100163,3100300
