ST_PUMA,ST_CO_PUMA
3900300,3900290
3900400,3900290
3900500,3900290
3900600,3900290
3900700,3900700
3900801,3900800
3900802,3900800
3900901,3900900
3900902,3900900
3900903,3900900
3900904,3900900
3900905,3900900
3900906,3900900
3900907,3900900
3900908,3900900
3900909,3900900
3900910,3900900
3901000,3901090
3901100,3901090
3901200,3901090
3901300,3901300
3901400,3901490
3901500,3901490
3901600,3901490
3901700,3901700
3901801,3901800
3901802,3901800
3901803,3901800
3901804,3901800
3901805,3901800
3901900,3901900
3902000,3902000
3902100,3902100
3902200,3902200
3902300,3902300
3902400,3902400
3902500,3902500
3902600,3902600
3902700,3902700
3902800,3902800
3902900,3902900
3903000,3903000
3903100,3903190
3903200,3903190
3903300,3903190
3903400,3903400
3903500,3903500
3903600,3903600
3903700,3903700
3903800,3903800
3903900,3903900
3904000,3904000
3904101,3904100
3904102,3904100
3904103,3904100
3904104,3904100
3904105,3904100
3904106,3904100
3904107,3904100
3904108,3904100
3904109,3904100
3904110,3904100
3904111,3904100
3904200,3904200
3904300,3904300
3904400,3904400
3904500,3904500
3904601,3904600
3904602,3904600
3904603,3904600
3904604,3904600
3904700,3904700
3904800,3904800
3904900,3904900
3905000,3905000
3905100,3905100
3905200,3905200
3905301,3905300
3905302,3905300
3905401,3905400
3905402,3905400
3905403,3905400
3905501,3905500
3905502,3905500
3905503,3905500
3905504,3905500
3905505,3905500
3905506,3905500
3905507,3905500
3905600,3905690
3905700,3905690
4000100,4000190
4000200,4000200
4000300,4000300
4000400,4000400
4000500,4000500
4000601,4000600
4000602,4000600
4000701,4000700
4000702,4000700
4000800,4000800
4000900,4000900
4001001,4001000
4001002,4001000
4001003,4001000
4001004,4001000
4001005,4001000
4001006,4001000
4001101,4001100
4001102,4001100
4001201,4001290
4001202,4001290
4001203,4001290
4001204,4001290
4001301,4000190
4001302,4000190
4001400,4001400
4001501,4001290
4001601,4001290
4100100,4100100
4100200,4100200
4100300,4100300
4100400,4100400
4100500,4100500
4100600,4100600
4100703,4100700
4100704,4100700
4100705,4100700
4100800,4100800
